,location,description,price,no_beds,square_foot,Type,Furnishing,building,place
10,"Northstar District 1,Financial District, Nanakaramguda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Northstar District 1  Located In Financial District,
Hyderabad.Read more","45,000",3,2000,Flat, Semi Furnished ,Northstar District 1, Nanakaramguda
11,"Chanda Naik Nagar, Madhapur,Hyderabad","2bhk brand new  semi Furnished and 1 a/c flat  available for rent in  madhaupur (available balcony ) .Located in madhaupur ready to get the property and available all amenities like a lift ,security guard and 24*7 water facility in the flat and facility geysers fans lights available to this apartment very nice and good decent area and good location 
Near by Google office,tech Mahindra,DLF and Wipro circle.
any more information contact Read more","16,000",2,1210,Flat, Semi Furnished ,Chanda Naik Nagar, Madhapur
12,"Kondapur Raghavendra Colony Rto Office ,Raghavendra Colony, Kondapur,Hyderabad","Here is an excellent 2 BHK Apartment available for rent in Hyderabad. Surrounded by natural greens and equipped with numerous amenities, this rented 2 BHK house offers a comfortable lifestyle for families. It is a spacious property nestled in Kondapur that enjoys good connectivity to major landmarks of the city. The Apartment is on the 2 floor. There is a total of 5 floors. The Apartment is designed as per modern construction standards. It has 2 bedrooms and 2 bathroom. It is East facing. The 2 BHK unit is thoughtfully designed to meet the space needs of a modern family and allows ample sunlig...Read more","14,000",2,1250,Flat, Semi Furnished ,Kondapur Raghavendra Colony Rto Office , Kondapur
13,"Police Colony, Kondapur,Hyderabad","This beautiful Apartment is a 2 BHK and Semi-furnished. The property is on floor number 4 in a building with 5 floors. Properties on rent in Hyderabad, contact for more information. Affordable rental property available in Kondapur, check out now. Check out this property available on rent at Kondapur. This luxurious property is available at an affordable rent of Rs 15000. Security amount of Rs 15000 is fixed. Rent this 1050 sq ft built up area property at an affordable price. Rental property available at affordable prices, check 7 pictures. Best tiles in all 2 bathrooms. Pocket-friendly housing...Read more","15,000",2,1050,Flat, Semi Furnished ,Police Colony, Kondapur
14,"Prime professional consultancy,Mega Hills, Madhapur,Hyderabad","2bhk simi furnished flat in madhapur good location and desant area near by madhapur main road few minites walk in detance 
Owner gevin on family's, bachelors and loving couples
I have 1 rk,1bhk,2bhk,3bhk 
Flats avilabel in madhapur,kondapur,gachibowli.
More detalis just call me 
From : prime professional consultancy Read more","23,000",2,1200,Flat, Semi Furnished ,Prime professional consultancy, Madhapur
15,"Maps Apartment,Gachibowli, Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Fully Furnished 3 BHK Is Available In Maps Apartment Located In Gachibowli,
Hyderabad.Read more","47,000",3,1900,Flat, Fully Furnished ,Maps Apartment, Gachibowli
16,"Kalpataru Residency,Sultan Bagh, Erragadda,Hyderabad","Our fees only Rs. 10K + GST for an apartment in Hyderabad.
Professional Property Management. Multiple direct options available.
Semi Furnished 3 BHK Is Available In Kalpataru Residency Located In Erragadda, Hyderabad.Read more","35,000",3,1900,Flat, Semi Furnished ,Kalpataru Residency, Erragadda
17,"Mega Hills, Madhapur,Hyderabad",2BHK flat fully furniture brand new two beds to AC washing machine fridge  dining table 24 by 7 water and security available near by cyber tower 1 km distance nearby IT companies availableRead more,"25,000",2,1210,Flat, Fully Furnished ,Mega Hills, Madhapur
18,"Kondapur Raghavendra Colony Rto Office ,Raghavendra Colony, Kondapur,Hyderabad","Your search for a spacious home at affordable rent in Hyderabad ends here. This 2 BHK Apartment in Kondapur is all that you have been looking for! Designed as East facing, the unit is compliant with Vastu principles. The 2 BHK property offers a serene environment with excellent views of the city. This Apartment is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is an unfurnished Apartment. This unit is built on floor 3 out of a total 5 floors. The Apartment has been thoughtfully designed to meet a family’s space needs, with 2 bedrooms. It includes 2 ba...Read more","15,500",2,1250,Flat, Semi Furnished ,Kondapur Raghavendra Colony Rto Office , Kondapur
19,"Police Colony, Kondapur,Hyderabad","Nestled in a serene atmosphere, this 2 BHK Apartment is available for rent. Semi-furnished property available near metro. Looking for rental property in Hyderabad? This property is available for rent in Kondapur. Property for rent available in Kondapur. The property is on floor number 2 in a building with 4 floors. Amount of Rs 15000 to be paid as rent excludes other monthly charges. Security charges of Rs 17000 is applicable. This is a beautiful, spacious 1050 sq ft built up area property available within your price range. It is available for lease from 2022-02-21. Spacious 2 bathroom for all...Read more","15,000",2,1050,Flat, Semi Furnished ,Police Colony, Kondapur
20,"Satya colony,AP Animal Husbandry Employees Colony, Shaikpet,Hyderabad","A spacious home designed for families aspiring for a modern lifestyle, this Apartment is available for affordable rent in Hyderabad. It is a 3 BHK Apartment situated in Shaikpet at a coveted location with well-developed infrastructure. This Apartment is a good example of a well-planned residential property with all new-age conveniences available for the residents. The unit is Furnished. The 3 BHK property has been impeccably designed property to meet the space needs of a contemporary home seeker. The property is West facing, built as per Vastu principles. This 3 BHK unit is built on floor 1 ou...Read more","15,000",3,1200,Flat, Unfurnished ,Satya colony, Shaikpet
21,"jaya darashani apartment,Police Colony, Kondapur,Hyderabad",NA,"30,000",3,2335,Flat, Semi Furnished ,jaya darashani apartment, Kondapur
22,"Pravat Nagar, Moti Nagar,Hyderabad","Affordable Independent Floor on rent available near your office. This 3 BHK property is fit to help you lead a modern-day lifestyle. Best Semi-furnished property available for rent at an affordable price. Luxury lifestyle in the heart of Hyderabad available now. Sprawling property available at affordable rent in Moti Nagar. The property is on floor number 1 in a building with 2 floors. Rent of Rs 30000 excludes maintenance charges. One month's rent, which is Rs 90000, will be collected as security charges. Check out this 1800 sq ft built up area property, available at an affordable rent. Best ...Read more","30,000",3,1800,Independent, Semi Furnished ,Pravat Nagar, Moti Nagar
23,"Gachibowli, Hyderabad",NA,"35,000",4,2000,Independent, Semi Furnished ,Gachibowli, Gachibowli
24,"Aditya Nagar, Hafeezpet,Hyderabad","Come home to a Apartment you have always aspired for. Rent 3 BHK near your office location. This is a very nicely done Semi-furnished property available for rent. The property is on the floor number 1 in a building which has 3 floors. House for rent available in Hafeezpet. Budget properties on rent is now in Hyderabad. Security amount of Rs 40000 will be charged. The most affordable property in this location is now on rent for only Rs 20000. Best 1655 sq ft built up area property available at best rent, your search ends right here. Find best 1450 sq ft (Carpet Area) property at an affordable r...Read more","20,000",3,1655,Flat, Semi Furnished ,Aditya Nagar, Hafeezpet
25,"Amrutha Hills Phase II,Shirdi Sai Nagar, Manikonda,Hyderabad","Check out this Semi-furnished property available at an economical rent. Rent a 3 BHK Apartment in this landmark location. The property is on floor number 1 in a building with 5 floors. Spacious property available for rent only in Manikonda. Mid-segment homes for rent now in Hyderabad. Fee of Rs 42000 for security charges apply. Amount of Rs 22000 to be paid as rent. This 1400 sq ft built up area property is available on rent at an affordable price. Big and spacious home available for rent, check out these 31 photos. This property has 2 big bath. Property on rent near metro is available from 20...Read more","22,000",3,1400,Flat, Semi Furnished ,Amrutha Hills Phase II, Manikonda
26,"Nafees Residency,AC Guards, Lakdikapul,Hyderabad","City Center, near to all the areas Read more","35,000",3,1780,Flat, Semi Furnished ,Nafees Residency, Lakdikapul
27,"Tapovan Park, Manikonda,Hyderabad","The property is a 1250 SFT, EAST Facing, 2BHK flat with 2 attached bath in Tulasi Garden Apartments, KPR Colony, Puppalaguda, Manikonda. The apartment is in the crossroads with two roads on east and south sides. Utility area attached to the Kitchen. Very well ventilated and has water meters for each flat. Wood work completely done in all bedrooms, Hall, dinning, kitchen, and for Puja. Complete wood work done. 1 Car + 1 bike covered parking. CC Cameras in the apartment for safety. Watchman in the premises. Rain water harvesting. Read more","14,500",2,1250,Flat, Semi Furnished ,Tapovan Park, Manikonda
28,"Silpa Park, Kondapur,Hyderabad","Spacious 3 BHK Apartment is available for rent.  Spacious Unfurnished property is now available at affordable rent. The property is on floor number 3 in a building with 4 floors. Spacious property available for rent only in Kothaguda. Property on rent available at affordable in posh locality of Hyderabad. Amount of Rs 18000 to be paid as rent. Affordable property on rent with only Rs 18000 as security charges. Check out this 1650 sq ft built up area property, available at an affordable rent. Spacious rooms at economical prices, check these 29 photos to know more. 3 bathroom has bathtub provisi...Read more","18,000",3,1650,Flat, Unfurnished ,Silpa Park, Kondapur
29,"Vivekananda Nagar, Kukatpally,Hyderabad",it is available for Man PG only,"10,500",1,1800,Independent, Fully Furnished ,Vivekananda Nagar, Kukatpally
30,"Saket Township,Jai Jawan Colony, Kapra,Hyderabad","Here is an excellent 5 BHK Villa available for rent in Hyderabad. Surrounded by natural greens and equipped with numerous amenities, this rented 5 BHK house offers a comfortable lifestyle for families. It is a spacious property nestled in Kapra that enjoys good connectivity to major landmarks of the city. The Villa is designed as per modern construction standards. It has 5 bedrooms and 4 bathroom. It is North facing. The 5 BHK unit is thoughtfully designed to meet the space needs of a modern family and allows ample sunlight and fresh air. There are 4 balcony in this unit where residents can sp...Read more","25,000",5,3000,Villa, Semi Furnished ,Saket Township, Kapra
31,"Jain Carlton Creek,Manikonda, Hyderabad","This is a well-designed 3 BHK Apartment available for rent. It is situated in a prime location of Hyderabad at Manikonda. This modern Apartment is Furnished. The 3 BHK unit fulfills all the needs of a modern lifestyle for families. There is a total of 13 floors. This unit is on 3 floor. The Apartment provides complete comfort for the residents. The Apartment lets you enjoy the lush greenery around. Meticulously designed to meet your housing needs, this unit has 3 bedrooms and 1 bathroom. It includes 1 balcony allowing residents to catch a glimpse of the city’s skyline. The carpet area is 1000 ...Read more","26,000",3,1384,Flat, Semi Furnished ,Jain Carlton Creek, Manikonda
32,"Virat Nagar Colony, Kapra,Hyderabad","Finding an Affordable Semi-furnished property is no more difficult. Nestled in a serene atmosphere, this 3 BHK Apartment is available for rent. The property is on the floor number 3 in a building which has 7 floors. House for rent available in Kapra. This property is available for rent in Behind Saket Sriyam, Jai Jawan Colony. Looking for rental property in Hyderabad? No negotiation on security charges of Rs 35000. Contact the owner for the exact price. Rent of Rs 16000 is quoted. Looking for 1781 sq ft (Carpet Area) property with big, spacious rooms? This is it. This 1781 sq ft built up area ...Read more","16,000",3,1781,Flat, Semi Furnished ,Virat Nagar Colony, Kapra
33,"Mushk Mahal, Attapur,Hyderabad","It is a spacious, Unfurnished 2 BHK Independent Floor. The property is on floor number 1 in a building with 3 floors. Spacious property available for rent only in Attapur. Homes that define aspirational lifestyle now in Hyderabad. Rent this property offered at best rent, located at Conditions :- Tenant Should Be Only Vegetarian Allowed Tenant Should Be Only Marwadi... Govind Nilayam Bharath Nagar Attapur. Property available for property at Rs 15000. Contact for best deal.   Security amount of Rs 50000 is fixed. This 900 sq ft built up area property is available on rent at an affordable price. ...Read more","15,000",2,900,Independent, Unfurnished ,Mushk Mahal, Attapur
34,"Dayara, Musheerabad,Hyderabad",NA,"16,000",2,1100,Flat, Semi Furnished ,Dayara, Musheerabad
35,"BRC Sri Hemadurga Sivahills,Anupama Homes, Manikonda,Hyderabad","It’s a 3 BHK Apartment (semi furnished) with 1755 sq.ft. Super builtup area. It has 3 bathrooms, 1 big balcony & 1 utility area.

2 bedrooms have 2 big *wardrobes* and the 3rd room used as reading room/office room has a *bookshelf*. Master bedroom has *split ac* and 1 *geyser* in the bathroom.
Kitchen has cabinets along with *RO* & *Chimney*.
Main hall has a *TV Unit * &  dining area has a *crockery unit.*Read more","26,000",3,1450,Flat, Semi Furnished ,BRC Sri Hemadurga Sivahills, Manikonda
36," Ranganayaka Apartments,King Koti, Hyderguda,Hyderabad","Apartment for rent at a location you have always aspired to live in. Semi-furnished property available near metro. Rent 2 BHK near your office location. The property is on floor number 2 in a building with 2 floors. Mid-segment homes for rent now in Hyderabad. Check out this beautiful, spacious property located near 3-6-190/a/b/1 Flat No 203, 2nd Floor Raghunamma Apt Urdu Lane, Apollo Pharmacy Himayath Nagar Hyderabad. 500029 Telangana. Sprawling property available at affordable rent in Hyderguda. The most affordable property in this location is now on rent for only Rs 16000. Amount of Rs 5000...Read more","16,000",2,988,Flat, Semi Furnished , Ranganayaka Apartments, Hyderguda
37,"Kompally, Hyderabad","Rent this 2 BHK Apartment in the heart of the city. Are you looking for Semi-furnished property on rent? Your search ends here. Property on rent available at affordable in posh locality of Hyderabad. Property for rent available at unbeatable price in Kompally, check out now. The property is on the floor number 5 in a building which has 5 floors. Affordable property on rent with only Rs 37000 as security charges. Rent value of Rs 16500 is expected. This property has a built up area of 1100 sq ft and is a perfect fit for your needs. Spacious rooms at economical prices, check these 17 photos to k...Read more","15,000",2,1100,Flat, Semi Furnished ,Kompally, Kompally
38," Sai Ram Residency Bachupally,Bachupally, Hyderabad","Semi-furnished property available near metro. This time shift to a Apartment that you aspire for. This 3 BHK property will let you live life king size. Property on rent available at affordable in posh locality of Hyderabad. The property is on the floor number 3 in a building which has 5 floors. Sprawling property available at affordable rent in Bachupally. Amount of Rs 21000 to be paid as rent. Security amount of Rs 42000 will be charged. This is a beautiful, spacious 1430 sq ft built up area property available within your price range. Top flooring in 3 bathrooms. It is available for lease fro...Read more","21,000",3,1430,Flat, Semi Furnished , Sai Ram Residency Bachupally, Bachupally
39,"Prestige High Fields,Puppalaguda, Hyderabad","Your search for a spacious home at affordable rent in Hyderabad ends here. The 4 BHK property offers a serene environment with excellent views of the city. This Apartment is equipped with the latest lifestyle amenities and all the conveniences at the doorstep. It is an unfurnished Apartment. This unit is built on floor 23 out of a total 34 floors. The Apartment has been thoughtfully designed to meet a family’s space needs, with 4 bedrooms. It includes 2 bathroom. There are 0 balcony that lets you enjoy scenic views. The built-up area of this Apartment is 2000 Square feet. Residents need to pay...Read more","50,000",3,2000,Flat, Unfurnished ,Prestige High Fields, Puppalaguda
40,"Muneer heights,Gouri Shankar Nagar Colony, Banjara Hills,Hyderabad","Its - PentHouse  ,apartments by luxury features , flat Built up are 800 & open area 800.Read more","16,500",2,800,Flat, Unfurnished ,Muneer heights, Banjara Hills
41,"NCC Urban One,Power Welfare Society, Kokapet,Hyderabad","Spacious Apartment available at affordable rent. Looking for affordably priced 3 BHK on rent? Fully Furnished property available near metro. Affordable rental house available in Kokapet. The property is on the floor number 5 in a building which has 18 floors. Budget properties on rent is now in Hyderabad. Property for rent available at an unbeatable price of Rs 40000. Amount of Rs 80000 will be collected from tenant as security charges. Best 1875 sq ft built up area property available at best rent, your search ends right here. Looking for spacious home near your office? Check 36 photos of this...Read more","40,000",3,1875,Flat, Fully Furnished ,NCC Urban One, Kokapet
42,"Akruthi Nandanavanam,Hafeezpet, Hyderabad","This well-built,sprawing Semi-furnished property can be yours. Come home to a Apartment you have always aspired for. Enviable homes for rent available, grab your favourite 3 BHK property now. If you are looking for affordable flats on rent in Hyderabad, you have arrived at the right place. The property is on floor number 3 in a building with 5 floors. Check out Hafeezpet for renting beautiful homes at affordable prices. Rs 40000 will be taken as security money. Amount of Rs 19000 to be paid as rent. This is a beautiful, spacious 1500 sq ft built up area property available within your price ran...Read more","19,000",3,1500,Flat, Semi Furnished ,Akruthi Nandanavanam, Hafeezpet
43,"Mega Hills, Madhapur,Hyderabad","Neat and clean, this Semi-furnished property is just what you were looking for. Spacious 3 BHK property available for rent. Looking for Apartment at pocket-friendly prices? Your search ends here. Affordable property available in Madhapur at unbelievable prices. Check out now. The property is on the floor number 3 in a building which has 5 floors. Property on rent available at affordable in posh locality of Hyderabad. No negotiation on security charges of Rs 60000. The most affordable property in this location is now on rent for only Rs 30000. This property has a built up area of 1650 sq ft and...Read more","30,000",3,1650,Flat, Semi Furnished ,Mega Hills, Madhapur
44,"Kothaguda, Hyderabad","If you are looking for a modern house on rent in Hyderabad, this Independent Floor in Kothaguda can be your perfect home. It is a 1 BHK Independent Floor designed to meet your space and lifestyle needs. The 1 BHK unit is Furnished. This rented 1 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It is located on floor 2 out of a total 4 floors . The Independent Floor has 1 bedroom and 1 bathroom. There is lush greenery around this Independent Floor. It is a North facing Independent Floor designed as per Vastu principles. The built-up are...Read more","14,500",1,150,Independent, Fully Furnished ,Kothaguda, Kothaguda
45,"Mahalaxmi Nilayam, Kachiguda,Hyderabad","3Rooms,Hall,Kitchen,Pooja Room,3 Bathrooms available.
Fans fitted in Bed rooms , Hall , Tube lights fittings

Only for vegetarians families requested.
Near to Kachiguda Railyway station, Bus station.
Near to Shri Shyam Mandir , Bigbazar
24 Hrs Drinking,Boring water.
Semi FurnishedRead more","18,000",3,1300,Independent, Semi Furnished ,Mahalaxmi Nilayam, Kachiguda
46,"Bachupally, Hyderabad",NA,"18,000",3,1550,Flat, Semi Furnished ,Bachupally, Bachupally
47,"Solitaire Harmony,Vittal Rao Nagar, Hitech City,Hyderabad","Check this beautiful 2 BHK Apartment available for rent in Hyderabad. Nestled at a prime location in Hitec City, it is an ideal home for those looking for a modern lifestyle. The Apartment is Furnished, available for affordable rent. This 2 BHK unit is inside a gated society equipped with various amenities and ample greenery. The Apartment is thoughtfully designed to ensure a comfortable living. It includes 2 bedrooms and 2 bathroom. Out of a total 5 floors, this 2 BHK unit is built on floor 2. It also has 1 balcony that have been spaciously designed and allow you to enjoy the magnificent view...Read more","30,000",2,1290,Flat, Fully Furnished ,Solitaire Harmony, Hitech City
48,"Yapral, Hyderabad","Family home in highly sought-after residential area,Walking distance to shops,In a calm and secluded area,Near parks and playgroundsRead more","40,000",4,3680,Independent, Semi Furnished ,Yapral, Yapral
49,"Prestige High Fields,Financial District, Nanakaramguda,Hyderabad","This is a well-designed 3 BHK Apartment available for rent. It is situated in a prime location of Hyderabad at Nanakramguda. This modern Apartment is Furnished. The 3 BHK unit fulfills all the needs of a modern lifestyle for families. There is a total of 35 floors. This unit is on 16 floor. The Apartment provides complete comfort for the residents. The Apartment lets you enjoy the lush greenery around. Meticulously designed to meet your housing needs, this unit has 3 bedrooms and 3 bathroom. It includes 1 balcony allowing residents to catch a glimpse of the city’s skyline. The total built-up a...Read more","38,000",3,1742,Flat, Semi Furnished ,Prestige High Fields, Nanakaramguda
50,"Bharat Heavy Electricals Limited, Hyderabad",Ground floor is available with car parking outside.Read more,"12,500",2,997,Independent, Semi Furnished ,Bharat Heavy Electricals Limited, Bharat Heavy Electricals Limited
51,"Siddique Nagar,Siddiq Nagar, Hitech City,Hyderabad","Property for rent available. Contact for Fully Furnished property. Rent 1 BHK near your office location. Excellent Apartment available for rent at an affordable price. The property is on floor number 1 in a building with 5 floors. If you are looking for affordable flats on rent in Hyderabad, you have arrived at the right place. Property for rent available at unbeatable price in Hitec City, check out now. This luxurious property is available at an affordable rent of Rs 14000. An amount of Rs 14000 levied as security charges is applicable. Rent this 500 sq ft built up area property at an afforda...Read more","14,000",1,500,Flat, Fully Furnished ,Siddique Nagar, Hitech City
52,"EIPL Rivera by EIPL Infra,Manchirevula, Hyderabad",Newly built Semi-furnished property available at best rent. Rent 3 BHK near your office location. It is a beautiful Apartment. Affordable property available in Manchirevula at unbelievable prices. Check out now. Mid-segment homes for rent now in Hyderabad. Big and spacious affordable property available for rent at Manikonda. The property is on the floor number 2 in a building which has 5 floors. An amount of Rs 150000 levied as security charges is applicable. Property for rent available at an unbeatable price of Rs 35000. This modern 2225 sq ft (Carpet Area) property is available at economical...Read more,"35,000",3,2225,Flat, Semi Furnished ,EIPL Rivera by EIPL Infra, Manchirevula
53,"Gopanapalli, Hyderabad","If you are looking for a modern house on rent in Hyderabad, this Apartment in Gopanpally can be your perfect home. It is a 3 BHK Apartment designed to meet your space and lifestyle needs. The 3 BHK unit is Furnished. This rented 3 BHK property is spacious and well-designed, with access to all the conveniences for any modern home seeker. It is located on floor 1 out of a total 4 floors . The Apartment has 3 bedrooms and 3 bathroom. It also has 3 balcony, giving uninterrupted views of the surroundings. There is lush greenery around this Apartment. The built-up area is 1400 Square feet. The month...Read more","15,000",3,1400,Flat, Semi Furnished ,Gopanapalli, Gopanapalli
54,"Bagath Singh Nagar Phase 2, Kukatpally,Hyderabad","Full furnished studio rooms . 2km from sujana forum mall . 0.5 km distance from metro station -Miyapur

Studio rooms will be given to boys/couple/working women's

Address: Plot -80, Lane -10, CBCID Officers colony, Hyderabad, Kukatpally- 500085
Total rooms – 8 (2nd floor 5 rooms and 3rd floor 3 rooms). Each room allowed only for 2 people. Individual can also opt single/private room. 
Each Room has: 
• 2 Teakwood cots with foam mattress, Pillows
• 2 wardrobes (3x6 size) with mirror for dressing
• Attached bathroom (4x6 size) with WPC doors.
• Studio modular open kitchen (L shape -2.5 X 8 with w...Read more","14,000",1,400,Independent, Fully Furnished ,Bagath Singh Nagar Phase 2, Kukatpally
55,"Srinivasam,Kanti Nagar, Mehdipatnam,Hyderabad","Semi-furnished spacious 2 BHK, 1100 sft, in 2nd Floor with Car Parking. Wide and long balcony on the Eastern Side and North East Entrance. In-house Water Tank available for Water Storage exclusive for this flat ensuring 24 hrs water supply to both Bathrooms. Bore and alternate-day HMWSSB water. One Bathroom Fitted with 15 Ltr Geyser. Fully compliant with VASTU. SRINIVASAM Apartment in Kanti Nagar, Mehdipatnam. Very near to Amba Theater and less than Half KM from Mehdipatnam Center. Very close to Mehdipatnam Bus Terminus, Many reputed Schools and Colleges, Super Markets, all types of markets, M...Read more","14,000",2,1170,Flat, Semi Furnished ,Srinivasam, Mehdipatnam
56,"Elemental Earthwoods,Kokapet, Hyderabad",Make this splendid 3 BHK Apartment your home. Fully Furnished property available near metro. Affordable rental house available in Kokapet. Homes for rent available in Hyderabad. The property is on the floor number 4 in a building which has 9 floors. Monthly rent is Rs 40000. Contact for more information. Security amount of Rs 80000 is fixed. Rent this 2023 sq ft built up area property at an affordable price. Top flooring in 4 bathrooms. Looking for spacious home near your office? Check 18 photos of this property offering excellent connectivity. This property is ready to move in from 2022-01-08...Read more,"40,000",3,2023,Flat, Fully Furnished ,Elemental Earthwoods, Kokapet
57,"GM SKYLINE RESIDENCY,Puppalaguda, Hyderabad","2 BEDROOM 2 BATHROOM PENT HOUSE SEMI FURNISHED PROPERTY WITH BEDS, WARDROBES, AIR CONDITIONERS (AC's), WATER GEYSERS,LIFT,CAR/BIKE PARKING, CCTV, FANS/LIGHTS, MIRRORS, ONE YEAR OLD PROPERTY, POWER BACKUP (GENERATOR) and many more. flat available to rent ASAPRead more","15,000",2,1000,Flat, Semi Furnished ,GM SKYLINE RESIDENCY, Puppalaguda
58,"Mantri Celestia,Financial District, Nanakaramguda,Hyderabad","Apartment for rent at a location you have always aspired to live in. Enviable homes for rent available, grab your favourite 2 BHK property now. Semi-furnished property available near metro. Budget properties on rent is now in Hyderabad. The property is on the floor number 23 in a building which has 24 floors. Sprawling property available at affordable rent in Nanakramguda. Fee of Rs 50000 for security charges apply. Contact the owner for the exact price. Rent of Rs 22000 is quoted. This spacious 920 sq ft (Carpet Area) property is available at affordable rent. Your search for a spacious 950 sq...Read more","22,000",2,950,Flat, Semi Furnished ,Mantri Celestia, Nanakaramguda
59,"Ambedkar Nagar, Masab Tank,Hyderabad","Nestled in a serene atmosphere, this 3 BHK Apartment is available for rent. Rent this fabulous Unfurnished property at an affordable price. The property is on floor number 4 in a building with 4 floors. Budget properties on rent is now in Hyderabad. Sprawling property available at affordable rent in Masab Tank. One month's rent, which is Rs 60000, will be collected as security charges. This luxurious property is available at an affordable rent of Rs 27000. This spacious 1369 sq ft (Carpet Area) property is available at affordable rent. Your search for a spacious 1400 sq ft built up area proper...Read more","27,000",3,1400,Flat, Unfurnished ,Ambedkar Nagar, Masab Tank
60,"Archana Manor,Police Colony, Kondapur,Hyderabad",NA,"18,000",2,1240,Flat, Semi Furnished ,Archana Manor, Kondapur
